,Tweets,len,Date,Source,Likes,RTs,Sentiment
38,"Actress Richa Chadha on Wednesday started shooting here for AshwinyIyer Tiwaris Panga, based on kabaddi This is the… ",117,2018-11-28 19:07:31,Hocalwire,0,0,0
39,"Ishita Dutta, Vatsal Sheth's Bali holiday, Mouni Roy at a birthday ... - Hindustan Times ",89,2018-11-28 19:07:15,IFTTT,0,0,0
40,Aamir Khan comments on the support to Bollywood writers | Bollywood News - Times Now  ,86,2018-11-28 19:07:05,dlvr.it,0,0,0
41,"#RanveerSingh on choosing Lake Como: Wanted #DeepikaPadukone's wish fulfilled, that's the first step in being the h… ",117,2018-11-28 19:06:21,Twitter Web Client,10,3,1
42,What I find strange is equating a genuine oppressed group like transsexuals with fashion-industry/bollywood type le… ,117,2018-11-28 19:06:17,Twitter Web Client,0,0,1
43,Girlfriend Vs Bestfriend Story On Bollywood Style/Bollywood Song Vine ,70,2018-11-28 19:05:18,Google,0,0,0
44,Fav Hollywood actor — I’m not into hollywood AT ALL and thanks for asking it’s Sidharth Malhotra in bollywood 🥰 ,112,2018-11-28 19:04:15,Curious Cat,0,0,1
45,You both can play brothers: Ranbir Kapoor and Ayushmann Khurrana's selfie has sent the internet into a tizzy  ,110,2018-11-28 19:04:06,Twitter for Android,0,0,0
46,Bollywood has been waiting for Ranveer and Deepika for longer than Nick and Priyanka have even known each other...,114,2018-11-28 19:03:49,Twitter Web Client,0,0,-1
47,"Don't know who #Bollywood star #VarunDhawan is...you will after this...
Final bits of IFFI (unrelated to our film i… ",117,2018-11-28 19:03:34,TweetDeck,0,0,0
48,"Dev Patel, Tina Fey roped in for 'Modern Love' -  ",50,2018-11-28 19:03:04,dlvr.it,0,0,1
49,"2.0: From Ranveer Singh to Leonardo DiCaprio, 5 actors like Akshay Kumar who ditched heroic image for villainous ro… ",117,2018-11-28 19:02:47,Twitter for Android,0,0,1
50,"Rakhi Sawant announces her wedding with Deepak Kalal; SRK, KJo to attend confirms Rakhi | Hindi Movie News - Times… ",116,2018-11-28 19:02:21,Twitter for Android,0,0,0
51,"Epitome of love❤❤❤❤❤❤

Cuteness overloaded😍😍

Most humble person i know on the earth is #IndiasMostWanted Munda aka… ",117,2018-11-28 19:02:07,Twitter for Android,0,0,1
52,Don't you love it when a whole Aamir Khan is considered the most underrated Bollywood film according to  Be… ,109,2018-11-28 19:02:04,Twitter Web Client,0,0,1
53,"2.0 box office predictions: The Rajinikanth, Akshay Kumar film will beat Thugs of Hindostan’s opening, say experts… ",116,2018-11-28 19:01:55,Twitter for Android,0,0,0
54,I liked a  video  Legends of 90's Bollywood Songs Mashup | Anurag Ranga | Abhishek Raina | Varsha,97,2018-11-28 19:01:50,Google,0,0,1
55, Haan jarur Sunna...he has a natural voice unlike some present bollywood singers always singing in… ,100,2018-11-28 19:01:48,Twitter for Android,1,0,1
56,Tere Te: Guru Randhawa sings a bland composition in an overly auto-tuned voice ,79,2018-11-28 19:01:17,Twitter for Android,0,0,-1
57,We've got a jam packed evening for you tomorrow  with our Christmas shopping evening from 5pm - 9pm (10%… ,106,2018-11-28 19:01:06,Hootsuite Inc.,3,1,0
58,  #VizagTourism  .... Wanna ride like James Bond.... Experience best tou… ,74,2018-11-28 19:00:32,Twitter for Android,0,0,1
59,"Inside Access!

Here are all the pictures and videos of what went inside #DeepVeerReception in Mumbai. 

 ",106,2018-11-28 19:00:02,TweetDeck,60,5,0
60,"While  and  held a special puja in #Mumbai ahead of their #Jodhpur reception, let's take a… ",92,2018-11-28 19:00:01,TweetDeck,17,1,1
61,"2.0: You will not believe the ticket price of the Rajinikanth-Akshay Kumar starrer in Mumbai

",94,2018-11-28 19:00:00,TweetDeck,14,3,0
62,The Urdu translation of this book was released by bollywood actor Amitabh Bachchan along with poet-scriptwriter Jav… ,117,2018-11-28 18:59:55,Twitter for iPhone,1,0,0
63,  Awesomee katrinaaaaaa,23,2018-11-28 18:59:54,Twitter for Android,0,0,0
64,Sawarne lagey Bollywood latest song WhatsApp status 2019 | Tayyab Production:  via ,83,2018-11-28 18:59:41,Google,0,0,1
65,I added a video to a  playlist  Sawarne lagey Bollywood latest song WhatsApp status 2019 | Tayyab,97,2018-11-28 18:59:29,Google,0,0,1
66,I added a video to a  playlist  3 Basic Chords!!Play 15 Forever HIT Bollywood Songs!! Easy Tutorial,99,2018-11-28 18:59:28,Google,0,0,1
67, They are not a part of Bollywood  because of the caste system in India.  And in Nigeria We don't have… ,104,2018-11-28 18:59:22,Twitter for Android,0,0,0
68,I saw this today morning too and I was disgusted. These celebs are really trying hard to compete with Hollywood and… ,117,2018-11-28 18:58:53,Twitter for Android,6,1,-1
69,  I have no come back for that because I don't think I've ever seen a Bollywood movie! So you win that one. 😂,109,2018-11-28 18:58:45,Twitter Web Client,1,0,1
70,"I don't see what's the point of naming them ""Asian"" when yall don't even include anyone from 1/3 of Asia....the mom… ",117,2018-11-28 18:58:32,Twitter Web Client,0,0,0
71,Tanushree Dutta said she feels a 'deep despair seeing the level of consciousness and extreme judgementalism in a co… ,117,2018-11-28 18:58:04,Twitter Web Client,22,4,-1
72,"States have tollywood ,kollywood,bollywood etc...etc...all together we  are indians ...2.0 is  our indian pride .le… ",117,2018-11-28 18:58:02,Twitter Lite,31,17,0
73,"I usually don't comment on Bollywood stuff but this photoshoot is fab.

Check pic A

Notice how they aren't smiling… ",117,2018-11-28 18:57:28,Twitter for iPhone,0,0,-1
74,Aaah! One of my fav mutuals when it comes to footy and Bollywood. She brings some of the best footy banter on my tl… ,117,2018-11-28 18:57:05,Twitter for iPhone,3,0,1
75,I've been thinking about marriage seriously for almost three years now: Ranveer Singh gets candid - Times Now… ,111,2018-11-28 18:57:05,dlvr.it,0,0,1
76," Brothers in Arms.... The super talented of #bollywood 👍🏻😇👍🏻

#RanbirKapoor #AyushmannKhurrana",94,2018-11-28 18:56:40,Twitter for Android,0,0,1
77,#RIP #MohdAziz. He was the 3rd playback singer in #Bollywood to fill the void of great #MohdRafi after… ,104,2018-11-28 18:56:39,Twitter for iPhone,0,0,1
78,I liked a  video  New vs Old 2 Bollywood Songs Mashup | Raj Barman feat. Deepshikha | Bollywood Songs,101,2018-11-28 18:56:38,Google,0,0,1
79,I liked a  video  Zindagi (Mashup) | Bollywood Meets Balochi Rap/EDM | Sherry Ft. Sami Amiri &amp; Hyder,104,2018-11-28 18:56:35,Google,0,0,1
80,"Aamir Khan on ‘Thugs Of Hindostan’ Failure: ‘We Went Wrong’   
Takes full responsibility for… ",94,2018-11-28 18:56:16,Twitter Web Client,0,0,-1
81,"A must watch video of  and  from their Mumbai wedding reception  (via 

",72,2018-11-28 18:55:55,Twitter Web Client,47,5,0
82,Top 10 Bollywood Actresses Who Married For Money Only:  via ,60,2018-11-28 18:55:01,Google,0,0,1
83, Pls console us too 😭😭😭 #Bepannaah,34,2018-11-28 18:54:31,Twitter for Android,0,0,0
84,   Just one example aayushman khurana which is not even a top 10 actor o… ,74,2018-11-28 18:54:22,Twitter for Android,0,0,1
85, MASTERPIECE OF BOLLYWOOD GOLDEN HEART PERSON..🌷,48,2018-11-28 18:53:39,Twitter for Android,0,0,1
86,Stress doh tgk Deepika ngan Ranveer nye wedding pics. Harap2 my future Bollywood gf won't ask for a wedding like that.,118,2018-11-28 18:53:28,Twitter for Android,0,0,0
87,     Nice😃,10,2018-11-28 18:52:52,Twitter for Android,0,0,1
88,Queen of bollywood   ,21,2018-11-28 18:52:50,Twitter for Android,1,1,0
89, this time heare 2.0 movie      ,32,2018-11-28 18:52:42,Twitter for Android,0,0,0
90,  And somewhere i feel that teejay congratulated hina on her bollywood debut so shilpa… ,88,2018-11-28 18:52:36,Twitter Lite,0,0,0
91,I liked a  video  BOLLYWOOD Singers MIMICRY By Sumedh Shinde | Indian Idol fame.,80,2018-11-28 18:52:01,Google,0,0,1
92, better pair in bollywood  ❤️❤️🥰❤️   ,37,2018-11-28 18:51:57,Twitter for iPhone,0,0,1
93,"I have seen everything, thank you Bollywood 🙃 ",46,2018-11-28 18:51:52,Twitter for iPhone,0,0,0
94,I liked a  video  New vs Old 2 Bollywood Songs Mashup | Raj Barman feat. Deepshikha | Bollywood Songs,101,2018-11-28 18:51:48,Google,0,0,1
95,  What’s your favorite Bollywood flick ? Let’s make amends brother :^),70,2018-11-28 18:51:47,Twitter for iPhone,0,0,1
96,I liked a  video  1 Beat Bollywood Mashup | Khwahish Gal,56,2018-11-28 18:51:35,Google,0,0,1
97,1.2 Million! That's the number of tickets SOLD OUT so far for Akshay Kumar and Rajinikanth's #2Point0 ,102,2018-11-28 18:51:18,IFTTT,0,0,1
98,"Wow. 
I’m speechless. Like that’s the solution.. We send kids to learn and are promised safety. Stricter laws need… ",116,2018-11-28 18:51:18,Twitter Lite,0,0,1
99, Mexico connects to  early seasons in a surprising way   ,57,2018-11-28 18:50:21,Twitter for Android,0,0,1
