,Tweets,len,Date,Source,Likes,RTs,Sentiment
45," Ssh! Don’t tell Al Gore, But We Just Had Two Years Of Record-Breaking Global Cooling ",86,2018-11-28 18:40:40,Twitter for iPhone,1,0,0
46,"Problem: Global Warming
Feedback: Climate Change",48,2018-11-28 18:40:31,Twitter for iPhone,0,0,0
47,"    60Cannual change from the Sun.

At most, climate alarmists attribu… ",72,2018-11-28 18:40:26,Twitter for Android,0,0,1
48," Hey, it won't be 30 years until the camps in NYC.  

It'll be the slow, steady migration of poorer r… ",103,2018-11-28 18:40:22,Twitter Web Client,0,0,-1
49,Global warming is central to Putin’s long-game of regaining Superpower status by claiming sovereignty over a massiv… ,117,2018-11-28 18:40:16,Twitter for iPhone,1,1,-1
50,Chris Christie is going to Canada to see the  global warming,60,2018-11-28 18:40:16,"Cheap Bots, Done Quick!",0,0,0
51,If you don’t believe in global warming unfollow me now,54,2018-11-28 18:40:10,Twitter for iPhone,1,1,0
52,"“We care about the polar bears because they’re showing us what’s going to happen to us,” he said. “If we don’t heed… ",117,2018-11-28 18:40:07,Buffer,0,0,-1
53,This is what global warming looks like in California right now #ClimateChangeIsReal &lt; not #SeasonsAreReal &lt;true ,118,2018-11-28 18:40:01,Twitter for iPhone,0,0,1
54,We can create millions of new jobs and make significant progress in the fight against the effects of climate change… ,117,2018-11-28 18:40:00,TweetDeck,7,6,1
55,    Trump is saving our country billions by stopping payments to th… ,69,2018-11-28 18:39:29,Twitter Lite,0,0,0
56, If it was a crime to be that handsome (as it should be because hes probably the reason we have global… ,104,2018-11-28 18:39:07,Twitter for Android,0,0,1
57,Global warming: World is woefully short of 2 degree goal - CNN #SmartNews  we need to pay better attention to this.… ,117,2018-11-28 18:38:59,Twitter for iPhone,0,0,1
58," Yeah right! Prove it! You can't , tje bought scientists can't because it's mot true. I've been hearing this… ",110,2018-11-28 18:38:39,Twitter for Android,0,0,1
59, we need the Val Kilmer Global Warming Dude,43,2018-11-28 18:38:33,Twitter for iPhone,0,0,0
60,lucky for you i've got enough chill to stop global warming,58,2018-11-28 18:38:19,twittbot.net,0,0,1
61,Life is creating global warming.,32,2018-11-28 18:38:14,"Cheap Bots, Done Quick!",0,0,0
62, I'm glad he brought up the subject.  I'm sure it's at the top of his pointed mind about right now.  If w… ,107,2018-11-28 18:37:59,Twitter Web Client,0,0,1
63,Remember that “Cali Fornia” means “hot oven” in Old Spanish. Maybe settling 40mn people in a hot oven wasn’t such a… ,117,2018-11-28 18:37:51,Twitter Web Client,0,0,1
64,"“Ohhh Oceans Ate Alaska. Like global warming!”
- @ Like Moths to Flames, Chain Reaction, Anaheim CA

Overheard by theskyisnotblue",129,2018-11-28 18:37:40,Twitter for iPhone,1,1,0
65,"I’m allergic to intentionally stupid people. Ignorant people can learn, but the intentionally stupid
(LIbErals, pro… ",117,2018-11-28 18:37:23,Twitterrific for iOS,0,0,-1
66,"Evergreen: local cold does not disprove global warming.  And, in case you were wondering, global warming has a stro… ",117,2018-11-28 18:37:11,Twitter Web Client,0,0,-1
67,New report says Australia is not on track to meet our Paris targets &amp; global efforts 'need to triple' by 2030 to ho… ,121,2018-11-28 18:37:03,Twitter for iPhone,2,1,1
68,The economic and health benefits of going carbon-neutral should be no-brainers for governments around the world: EU… ,117,2018-11-28 18:36:46,Twitter for Android,0,0,1
69,I was the first person ever to ask one of the great questions of our time: If global warming is real then why is it… ,117,2018-11-28 18:36:46,Twitter for iPhone,1,0,1
70, Oh... So Obama is responsible for global warming.... 🤔🤔🤔🤣,58,2018-11-28 18:36:26,Twitter for Android,0,0,1
71, Because C02 isn't the cause of global warming. Dumbass's !,59,2018-11-28 18:36:18,Twitter Web Client,0,0,0
72,"I am the first person to defend scientific research. Vaccines save lives, global warming is real.. But this right h… ",117,2018-11-28 18:36:06,Twitter for iPhone,0,0,1
73, But what if global warming is real,35,2018-11-28 18:35:47,Twitter for Android,0,0,1
74," Sure! It's not a trick, or really a good thing, but it's called 'Climate Change.'
Probably why Trump is s… ",108,2018-11-28 18:35:35,Twitter Web Client,1,0,1
75,"Here we go. Global warming, ocean acidification, plastic contamination, etc. etc. is slowly but surely swamping our… ",117,2018-11-28 18:34:58,Twitter for iPad,0,0,1
76,"People who say a cold snap is evidence that there is no global warming, would they say that two days or rain in sum… ",117,2018-11-28 18:34:51,Twitter Web Client,0,0,-1
77,Estimated percentage of adults who think global warming is happening by county #Utah ,85,2018-11-28 18:34:34,Twitter for iPhone,0,0,0
78,"Indeed, science isn’t partisan.  But scientists CAN be, and often are.  Please read Michael Crichton on environment… ",117,2018-11-28 18:34:27,Tweetbot for iΟS,0,0,0
79, Are they using the Phoenix Pay System to keep track of global warming now?,75,2018-11-28 18:34:19,Twitter for iPhone,0,0,0
80,"  Stop screwing up the economy and focus on the real problem: GLOBAL WARMING!  
I know you don't… ",98,2018-11-28 18:34:14,Twitter Web Client,0,0,1
81,"World must triple efforts or face catastrophic #climatechange, says UN ",71,2018-11-28 18:34:09,Twitter Web Client,0,0,0
82,Latest Global Warming Lies from US Global Change Research Program ,66,2018-11-28 18:33:45,Twitter Web Client,0,0,1
83,EU proposes plan to go totally carbon-neutral by 2050 ,54,2018-11-28 18:33:24,Twitter for iPhone,0,0,0
84,Why we need urgently to break our dependence on all fossil-based fuels (UN climate report) | The Independent ,109,2018-11-28 18:33:19,Twitter for iPhone,0,0,0
85, i notice that the original theme is global warming. it's a religion used to scare people.,90,2018-11-28 18:33:13,Twitter Web Client,0,0,1
86,"Jeff Goldblum, Sting, Bill Nye Among the Celebs Joining Al Gore for 'Climate Crisis' Event  ",92,2018-11-28 18:32:55,Twitter Web Client,0,0,0
87, I think that global catastrophic events and/or natural disasters amplified by climate change or global wa… ,108,2018-11-28 18:32:54,Twitter Web Client,0,0,1
88,"Don't know if the Prime Minister seen the weather today in Scotland, all this rain could be our number 1 export to… ",116,2018-11-28 18:32:51,Twitter for Android,0,0,0
89,Global warming ,15,2018-11-28 18:32:41,Twitter for Android,0,0,0
90,Why do they keep claiming Global warming?  Everybody knows it's the Heatmizer. #TrumpExplainsChristmasMovies,108,2018-11-28 18:32:36,Twitter for Android,0,0,0
91,#TrumpExplainsChristmasMovies two guys showing that Global Warming is bullshit. ,80,2018-11-28 18:32:36,Twitter Web Client,1,1,0
92,Predicted global warming ,25,2018-11-28 18:32:28,Twitter for iPhone,1,0,0
93,"Air pollution is depleting the ozone layer, which is leading to global warming. Today, global warming is affecting… ",116,2018-11-28 18:32:18,Twitter Web Client,3,0,0
94, Someone should have him watch the day after tomorrow. Maybe if it comes as a form of entertainment he c… ,106,2018-11-28 18:32:10,Twitter for iPhone,0,0,0
95,"Global warming is not a hoax, it really exists and steps need to be taken in order to protect the very planet on wh… ",117,2018-11-28 18:31:34,Facebook,0,0,1
96,    So you believe looking at the last 100 years and using it to claim gl… ,75,2018-11-28 18:31:34,Twitter for iPhone,0,0,0
97,"#TrumpExplainsChristmasMovies

If the Ice Cream Bunny can help Santa in Florida without melting, then that proves G… ",117,2018-11-28 18:31:32,Twitter for Android,2,1,1
98,"Global efforts 'need to triple' by 2030 to hold warming at 2C.
 ""The last 10,000 years, when cities &amp; agriculture h… ",121,2018-11-28 18:31:29,Twitter for iPad,0,0,0
99,Global WARMING?? Well why did I have to wear a hoodie in FLORIDA this morning?🤔🤔🤔 what about GLOBAL COLDING???,110,2018-11-28 18:31:23,Twitter for iPhone,1,0,0
